title,url,note
John Taylor Gatto TV — channel,https://www.youtube.com/user/johntaylorgatto,
Playlist: Best John Taylor Gatto lectures,https://www.youtube.com/playlist?list=PL2GGtyk49T3bX1DTvMq8_uZ3wTaQupGbZ,
Playlist: Compulsory schooling,https://www.youtube.com/playlist?list=PL79e_yvvVfv8YhS64LgcopsrE9zl3xkh5,
Playlist: *The Ultimate History Lesson* (long interview series),https://www.youtube.com/playlist?list=PLnkhjkRyBrHYgJXzwY14cVnrVx2F3j68m,
Playlist: *Dumbing Us Down* read-along / chapters,https://www.youtube.com/playlist?list=PLTdrKUNlDrybkfRN1e26bckHrJJRaKZIz,
The Hidden Curriculum of Compulsory Schooling,https://www.youtube.com/watch?v=SUe3ETGHAI4,
Weapons of Mass Instruction — John Gatto,https://www.youtube.com/watch?v=9YaezVvN2oM,
Why Schools Don’t Educate,https://www.youtube.com/watch?v=JtfQGkG4kWM,
The History of American Education,https://www.youtube.com/watch?v=MLJ9-FCDoTI,
History of Modern Schooling,https://www.youtube.com/watch?v=9sW5dq3OgCA,
A Short Angry History of Modern Schooling (remaster),https://www.youtube.com/watch?v=a5gkqGP55M8,
6 Secret Lessons Taught in School,https://www.youtube.com/watch?v=U8hsq3Xcfsg,
*Dumbing Us Down* — chapter 1,https://www.youtube.com/watch?v=E-nkyIgSPSs,
*Dumbing Us Down* — “The Seven-Lesson Schoolteacher” reading (alternate upload),https://www.youtube.com/watch?v=Hedza7U0C_I,
"John Taylor Gatto’s resignation: “I quit, I think” (letter / commentary)",https://www.youtube.com/watch?v=_oM524l_beA,
"“I quit, I think” — another upload (same letter, different packaging)",https://www.youtube.com/watch?v=gWPKxoWzKuc,
John Taylor Gatto: courageous teacher — *The Hero Show*,https://www.youtube.com/watch?v=kxsmsvtsCaY,interview — check tone
A short angry history of modern schooling (older upload),https://www.youtube.com/watch?v=8_5h0aO8ZaE,you already have a remaster above
Playlist: Public education (misc. Gatto-related uploads),https://www.youtube.com/playlist?list=PLx9tOrykl4wu5-RWO7eSSN2HFJQkLQSSs,
